status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
21898300328_10154866714160329,Steal their secrets and everything you make will get a little bit more delicious.,17 Genius Cooking Tricks That Professional Chefs Want You To Know,link,http://bzfd.it/2apNEjl,2016-07-25 13:01:00,417,49,144,405,11,0,1,0,0
21898300328_10154866692695329,We asked Donald J. Trump supporters to write down a misconception about them and here's what happened.,21 Things Trump Supporters Want Their Haters To Know,link,http://bzfd.it/2a4JwSp,2016-07-25 12:16:00,5397,1369,776,2081,117,102,2456,111,530
21898300328_10154866649830329,"♫ Splish, splash, I was takin' a bath ♫",19 Unique Bath Bombs That'll Make You Feel So Damn Relaxed,link,http://bzfd.it/2a4HFge,2016-07-25 11:30:26,838,132,179,770,65,3,0,0,0
21898300328_10154866401445329,Protect ya neck...from the heat.,13 Natural Hairstyles To Try When The Humidity Is Trying You,link,http://bzfd.it/2alJ7eS,2016-07-25 10:46:00,311,56,33,289,19,2,0,0,1
21898300328_10154863539770329,"Forget all of that ""me as a parent"" stuff — this is you.","18 Pictures That Make You Say ""Literally Me As A Parent""",link,http://bzfd.it/2a2mhsd,2016-07-25 10:01:00,1454,128,432,1150,47,1,256,0,0
21898300328_10154861267875329,When you start having secret meetings in the toilets.,18 Important Milestones That Turn Work Colleagues Into Work BFFs,link,http://bzfd.it/2alIT7v,2016-07-25 09:16:00,1073,1099,535,922,62,1,88,0,0
21898300328_10154863572355329,Aesthetic: Over it.,22 Products Every Slightly Grumpy Person Will Relate To,link,http://bzfd.it/2apEYcK,2016-07-25 08:31:00,3003,426,590,2651,193,0,158,0,1
21898300328_10154860516475329,"If you have to spend all day there, you might as well make it a little homier.",What Should You Get To Make Your Office A Little Nicer?,link,http://bzfd.it/2al8AFd,2016-07-25 07:01:00,620,103,79,593,22,1,4,0,0
21898300328_10154863526630329,A tiny bit more organizing can make a real big difference.,7 Easy Organizing Tricks You'll Actually Want To Try,link,http://bzfd.it/2a2mKdS,2016-07-25 06:01:00,804,40,173,782,20,2,0,0,0
21898300328_10154864160475329,More like DSLOL.,13 Things That'll Help You Take Better Photos With Your Phone,link,http://bzfd.it/2apRrx9,2016-07-25 05:01:00,514,71,106,476,24,12,2,0,0
21898300328_10154863794315329,"Oh hey, Tom Hiddleston and Brie Larson.","Tom Hiddleston And Brie Larson Look Scared As Shit In ""Kong: Skull Island""",link,http://bzfd.it/2apNk3N,2016-07-25 04:01:01,2588,102,104,2436,107,35,10,0,0
21898300328_10154863473580329,Let's get down to ~boob~ business.,We Know What Kind Of Bra You Wear,link,http://bzfd.it/2a2kYsY,2016-07-25 03:01:00,363,109,18,333,4,1,23,0,2
21898300328_10154863958740329,Or make you die from laughter.,The 20 Worst Damn Cosplays You've Ever Seen,link,http://bzfd.it/2apRtEZ,2016-07-25 02:01:00,3765,438,440,2876,76,19,779,5,10
21898300328_10154860507925329,,BuzzFeed Books,link,https://s3.amazonaws.com/hive-binaries/binaries/57e623ad6cb8483099acb108d131b312/ItIsntFair.gif,2016-07-25 01:01:00,14783,816,1,13216,620,4,447,495,1
21898300328_10154863980265329,"""Honey, they don't call it a job for nothing.""",What Do You Actually Do When You Give A Blow Job?,link,http://bzfd.it/2a2BUj6,2016-07-25 00:01:00,1263,314,118,1021,23,13,203,1,2
21898300328_10154863511240329,"Sansa might be in big trouble, guys. SPOILERS AHEAD. // Game of Thrones","Here's Everything We Learned About ""Game Of Thrones"" At Comic-Con",link,http://bzfd.it/2a2m1JG,2016-07-24 23:01:00,3308,309,388,3057,153,75,20,3,0
21898300328_10154863765855329,REMEMBER THE '90s????? REMEMBER?????,20 Witty Tweets About Remembering The '90s,link,http://bzfd.it/2a2wlBq,2016-07-24 22:16:00,1683,67,154,1528,31,2,120,1,1
21898300328_10154865287920329,"An internal memo left in a hotel restaurant details extraordinary demands considered by the Bernie Sanders campaign, including a private plane they wanted the DNC to pay for.",Obtained Memo Shows Bernie Sanders Campaign Debated Whether To Keep Fighting Clinton,link,http://bzfd.it/2a8ZOrY,2016-07-24 22:03:06,1734,455,187,1309,24,124,182,17,78
21898300328_10154863644955329,"Stranger Things pays tribute to many '80s classics, from Firestarter to Stand By Me. *Spoilers!*","23 Totally Rad Films You Should Watch If You Loved ""Stranger Things""",link,http://bzfd.it/2a2r5h9,2016-07-24 21:31:00,5886,1431,1753,5309,534,37,4,1,1
21898300328_10154863574385329,"Everyone: So why don't you believe in God? 
You: Um, hi, nice to meet you.",21 Awkward Situations That'll Make Non-Religious People Cringe,link,http://bzfd.it/2a2orb3,2016-07-24 20:46:00,12510,1202,3518,10357,1077,5,1048,10,13
21898300328_10154863548520329,You are not Nicki Minaj and baggy jean butts are your enemy.,21 Things You'll Only Know If You've Got No Bum And A Lil' Tum,link,http://bzfd.it/2a2n7Vz,2016-07-24 20:01:00,4730,645,1016,3920,257,6,520,26,1
21898300328_10154860661060329,*cringe*,29 Incredibly Concerning Grammar Fails,link,http://bzfd.it/2ajD9hQ,2016-07-24 19:16:00,8249,1349,1506,6369,182,64,1623,9,2
21898300328_10154863576765329,"""Men statistically have larger brains than women, which is why men are usually smarter and elephants rule us all from their laser-hovercraft.""",17 Brain Tweets That Will Make You Laugh And Then Think,link,http://bzfd.it/2a2o7cq,2016-07-24 18:31:00,1132,43,142,953,22,1,156,0,0
21898300328_10154861134035329,It's not exactly the rock 'n' roll lifestyle everyone thinks it is.,28 Secrets Tattoo Artists Will Never Tell You,link,http://bzfd.it/2ajZeNn,2016-07-24 17:46:00,6621,376,948,6269,316,5,29,0,2
21898300328_10154864155305329,Something's coming. // Sherlock,"Time To Freak Out Because The New ""Sherlock"" Trailer Is Here",link,http://bzfd.it/2apY7LC,2016-07-24 17:01:00,22300,3386,4902,18347,2819,1105,24,4,1
21898300328_10154864429345329,Debbie Wasserman Schultz announced she will leave her position after this week's Democratic National Convention in Philadelphia.,DNC Chair Debbie Wasserman Schultz Stepping Down Amid Email Scandal,link,http://bzfd.it/2a2QvLH,2016-07-24 16:16:01,1670,155,154,1396,144,12,103,6,9
21898300328_10154864232940329,"The Olympic accommodation for athletes has blocked toilets, leaking pipes, and water coming down the walls, according to the Australian team.",Rio's Olympic Village Is Apparently One Big Hot Mess,link,http://bzfd.it/2aq0L3T,2016-07-24 15:16:00,4292,474,596,2887,7,633,207,182,376
21898300328_10154863992145329,THIS. IS. IMPORTANT.,Little Girls Went To Comic-Con Dressed As Rey And That's So Important,link,http://bzfd.it/2a2C7D5,2016-07-24 14:31:00,35123,466,2360,30540,4521,13,41,3,6
21898300328_10154863659960329,You get a wand! You get a wand! You get a WAAAAND!,"Eddie Redmayne Gave Thousands Of ""Harry Potter"" Fans Free Wands",link,http://bzfd.it/2a2jUFu,2016-07-24 13:46:00,13962,427,835,11871,1577,388,93,33,0
21898300328_10154860611505329,Color your life.,This Color Test Will Determine What Country You Should Live In,link,http://bzfd.it/2aldv99,2016-07-24 13:01:00,428,73,22,400,21,5,1,1,0
21898300328_10154860849380329,This is the epic meal-time of beauty videos. // Jenna Marbles,Jenna Marbles Put 100 Coats Of Makeup On And It's Fuggin Terrifying,link,http://bzfd.it/2ajMiXG,2016-07-24 12:31:00,22313,3028,3493,17426,799,297,3749,17,25
21898300328_10154863739395329,"THIS IS NOT A DRILL, THIS IS NOT A DRILL.",Brie Larson Is Going To Be Captain Marvel And People Are Freaking Out,link,http://bzfd.it/2apLMXV,2016-07-24 11:46:00,14778,545,1032,12872,1638,243,14,2,9
21898300328_10154863616215329,From the lips of SANSA HERSELF. // Game of Thrones,Sophie Turner Really Doesn't Want Jon Snow And Sansa To Bone,link,http://bzfd.it/2a2q3l7,2016-07-24 11:01:00,4989,348,199,4080,79,19,802,6,3
21898300328_10154863463440329,"""What is revealed now is not a shock to me,"" Bernie Sanders said Sunday.","Sanders ""Outraged"" By Leaked Emails Showing DNC Staffers Criticizing Him",link,http://bzfd.it/2apBB5F,2016-07-24 10:16:00,5470,287,921,3765,25,47,35,483,1115
